,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
39,AS,N1,P2,A2,N1,O,P5,C4,CD,N1,P3,W6,CD,MS,N1,C4,C2,N1,A5,O
40,O,P2,N1,A5,P5,N1,P4,P5,A2,MS,N1,AS,O,P5,C3,N1,A4,A5,A4,N1
41,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
42,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
43,OB,C2,N1,O,P2,N1,C4,P4,P3,C2,N1,C3,P3,MS,O,N1,CD,O,A4,N1
44,A5,N1,P2,AS,O,MS,O,A5,P2,N1,C4,C3,P3,P5,N1,P5,P2,P2,P2,N1
45,A4,N1,P5,A4,N1,O,A2,A4,A4,N1,A3,A2,M1,A4,N1,AS,OB,N1,A4,N1
46,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD
47,A3,N1,P5,P4,N1,P3,O,O,A2,N1,AS,N1,C4,C3,N1,MS,OB,AS,P3,N1
48,P4,N1,CD,C2,N1,P2,A4,MS,O,N1,AS,C4,P3,P2,N1,A4,OB,P3,AS,N1
49,O,N1,A4,C2,N1,C3,MS,C3,M1,O,O,P4,C4,A5,N1,C2,AS,OB,OB,N1
50,P2,N1,O,C3,N1,AS,A4,A4,CD,N1,O,A4,C2,A4,N1,A5,A5,A5,CD,N1
51,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD,CD
52,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD,CD,CD,CD,CD
53,A4,N1,MS,CD,N1,A3,A2,C4,P3,P3,N1,O,A2,O,N1,P4,MS,MS,A3,N1
54,A4,N1,A5,CD,N1,O,O,P5,P5,N1,C4,P5,N1,A4,O,CD,N1,A5,A2,N1
55,A5,N1,A3,A5,N1,OB,P4,N1,A5,N1,P3,A4,N1,A5,N1,O,P5,N1,A5,N1
56,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,CD,O,CD,CD,CD
57,P2,N1,O,C4,N1,C4,AS,P3,P5,N1,P3,A3,C4,MS,N1,CD,M1,O,A5,N1
58,P4,N1,CD,AS,N1,CD,P2,M1,A3,N1,A3,MS,A4,MS,N1,P5,A5,P4,O,N1
59,A2,N1,P2,A4,N1,P2,A4,C4,OB,N1,A2,N1,A2,AS,N1,C3,P3,N1,C4,O
